Title,Average_Rating,Director,Number_reviews,Release_Date,Actor1,Actor2,Genre1,Genre2
Hamoon,3.68,Dariush Mehrjui,83,1990,Khosro Shakibai,Bita Farrahi,Drama,
Asterix and Cleopatra,3.59,René Goscinny,573,1968,Roger Carel,Jacques Morel,Animation,Comedy
The Lineup,3.66,Don Siegel,1015,1958,Eli Wallach,Robert Keith,Crime,Thriller
Mera Naam Joker,3.72,Raj Kapoor,120,1970,Raj Kapoor,Rishi Kapoor,Drama,Romance
Dia,3.28,K. S. Ashoka,295,2020,Kushee Ravi,Dheekshith Shetty,Romance,Drama
National Theatre Live: Coriolanus,3.92,Josie Rourke,296,2014,Tom Hiddleston,Mark Gatiss,Drama,
Vettaiyaadu Vilaiyaadu,3.62,Gautham Vasudev Menon,436,2006,Kamal Haasan,Jyothika,Action,Thriller
Dr. Jekyll and Mr. Hyde,3.38,John S. Robertson,1205,1920,John Barrymore,Brandon Hurst,Horror,Drama
Ship of Fools,3.35,Stanley Kramer,406,1965,Vivien Leigh,Simone Signoret,Drama,Romance
A Gentle Woman,3.82,Robert Bresson,581,1969,Dominique Sanda,Guy Frangin,Romance,Drama
A Cruel Romance,3.65,Eldar Ryazanov,113,1984,Alisa Freyndlikh,Larisa Guzeeva,Romance,Drama
Le Beau Serge,3.63,Claude Chabrol,695,1958,Gérard Blain,Jean-Claude Brialy,Drama,
Dolemite Is My Name,3.65,Craig Brewer,15771,2019,Eddie Murphy,Wesley Snipes,Drama,History
Obsession,3.59,Edward Dmytryk,496,1949,Robert Newton,Phil Brown,Thriller,Crime
Election 2,3.92,Johnnie To,1343,2006,Simon Yam,Louis Koo,Crime,Thriller
Cabin in the Sky,3.49,Vincente Minnelli,629,1943,Ethel Waters,Eddie 'Rochester' Anderson,Music,Fantasy
Ennu Ninte Moideen,3.54,R. S. Vimal,81,2015,Parvathy Thiruvothu,Prithviraj Sukumaran,Drama,Romance
From Hell,3.02,Albert Hughes,3066,2001,Johnny Depp,Heather Graham,Horror,Thriller
Man on the Roof,3.72,Bo Widerberg,481,1976,Carl-Gustaf Lindstedt,Sven Wollter,Action,Crime
The Spider's Stratagem,3.62,Bernardo Bertolucci,296,1970,Giulio Brogi,Alida Valli,Mystery,Drama
Badla,3.42,Sujoy Ghosh,715,2019,Amitabh Bachchan,Taapsee Pannu,Drama,Crime
The Monkey King: Havoc in Heaven,3.92,Wan Laiming,353,1961,Qiu Yuefeng,Fu Runsheng,Adventure,Fantasy
July Rain,3.88,Marlen Khutsiyev,203,1967,Yevgeniya Uralova,Aleksandr Belyavskiy,Drama,Romance
The Waterboy,2.82,Frank Coraci,6992,1998,Adam Sandler,Kathy Bates,Comedy,
The 8 Diagram Pole Fighter,4.03,Lau Kar-leung,2251,1984,Gordon Liu Chia-hui,Alexander Fu Sheng,Drama,Action
Decision to Leave,3.97,Park Chan-wook,70725,2022,Tang Wei,Park Hae-il,Mystery,Romance
Silver Streak,3.31,Arthur Hiller,1323,1976,Gene Wilder,Jill Clayburgh,Comedy,Romance
Joseph,3.49,Padmakumar M,146,2018,Joju George,Irshad Ali,Drama,Thriller
24,3.45,Vikram Kumar,227,2016,Suriya,Samantha Ruth Prabhu,Science Fiction,Thriller
The Man from Snowy River,3.44,George T. Miller,599,1982,Tom Burlinson,Sigrid Thornton,Adventure,Romance
Bugsy,3.33,Barry Levinson,1074,1991,Warren Beatty,Annette Bening,Drama,Crime
A Beautiful Day in the Neighborhood,3.6,Marielle Heller,21992,2019,Matthew Rhys,Tom Hanks,History,Drama
Thérèse Raquin,3.55,Marcel Carné,115,1953,Simone Signoret,Raf Vallone,Romance,Crime
The Book of Sun,3.55,Faris Godus,663,2020,Baraa Alem,Sohayb Godus,Drama,Thriller
Ajami,3.61,Scandar Copti,156,2009,Fouad Habash,Nisrine Rihan,Drama,Crime
Male and Female,3.4,Cecil B. DeMille,137,1919,Thomas Meighan,Gloria Swanson,Drama,Adventure
Signs,3.56,Patrick Hughes,179,2008,Kestie Morassi,Nick Russell,Romance,
The Watchmaker of St. Paul,3.69,Bertrand Tavernier,302,1974,Philippe Noiret,Jean Rochefort,Crime,Drama
Fantastic Beasts: The Crimes of Grindelwald,2.54,David Yates,32973,2018,Eddie Redmayne,Katherine Waterston,Fantasy,Adventure
The Other Guys,3.21,Adam McKay,20093,2010,Will Ferrell,Mark Wahlberg,Crime,Action
Footnote,3.66,Joseph Cedar,297,2011,Shlomo Bar-Aba,Lior Ashkenazi,Comedy,
Nayak: The Real Hero,3.37,Shankar,66,2001,Anil Kapoor,Rani Mukerji,Thriller,Action
"Cinema, Aspirins and Vultures",3.7,Marcelo Gomes,498,2005,João Miguel,Peter Ketnath,Drama,
Any Number Can Win,3.74,Henri Verneuil,453,1963,Jean Gabin,Alain Delon,Crime,
The Puppetmaster,3.9,Hou Hsiao-hsien,347,1993,Li Tian-Lu,Lim Giong,War,Drama
They Shall Not Grow Old,4.09,Peter Jackson,7546,2018,Thomas Adlam,William Argent,Documentary,History
Rocks,3.92,Sarah Gavron,3480,2019,Bukky Bakray,Kosar Ali,Drama,
The Sure Thing,3.45,Rob Reiner,1036,1985,John Cusack,Daphne Zuniga,Romance,Comedy
Oopiri,3.51,Vamsi Paidipally,142,2016,Nagarjuna Akkineni,Karthi,Family,Romance
An Adventure in Space and Time,3.93,Terry McDonough,1403,2013,David Bradley,Jessica Raine,Drama,
Nick and Norah's Infinite Playlist,3.1,Peter Sollett,9758,2008,Michael Cera,Kat Dennings,Music,Drama
The Brothers Bloom,3.44,Rian Johnson,4301,2008,Rachel Weisz,Adrien Brody,Romance,Comedy
Green Snake,4.01,Tsui Hark,1636,1993,Joey Wong,Maggie Cheung,Fantasy,Romance
The Five Venoms,3.52,Chang Cheh,1916,1978,Chiang Sheng,Phillip Chung-Fung Kwok,Mystery,Action
The Red Squirrel,3.56,Julio Medem,157,1993,Emma Suárez,Nancho Novo,Drama,Comedy
Tai-Chi Master,3.61,Yuen Woo-Ping,567,1993,Jet Li,Michelle Yeoh,Action,Thriller
Siva,3.58,Ram Gopal Varma,56,1989,Nagarjuna Akkineni,Amala Akkineni,Crime,Action
Lord of the Flies,3.34,Peter Brook,2686,1963,James Aubrey,Tom Chapin,Thriller,Drama
Submarino,3.78,Thomas Vinterberg,459,2010,Jakob Cedergren,Peter Plaugborg,Drama,
Gangaajal,3.42,Prakash Jha,78,2003,Ajay Devgn,Gracy Singh,Crime,Drama
The Pillow Book,3.47,Peter Greenaway,1113,1995,Vivian Wu,Yoshi Oida,Drama,Romance
The Murderer Lives at Number 21,3.67,Henri-Georges Clouzot,513,1942,Pierre Fresnay,Suzy Delair,Thriller,Mystery
Snow White and the Huntsman,2.5,Rupert Sanders,6719,2012,Kristen Stewart,Chris Hemsworth,Fantasy,Drama
A Kind of Loving,3.61,John Schlesinger,346,1962,Alan Bates,June Ritchie,Romance,Drama
Weathering with You,3.64,Makoto Shinkai,23959,2019,Kotaro Daigo,Nana Mori,Fantasy,Animation
Faithless,3.7,Liv Ullmann,123,2000,Lena Endre,Erland Josephson,Romance,Drama
Summer Heights High,4.01,Stuart McDonald,181,2007,Chris Lilley,David Lennie,Comedy,
Non-Stop,3,Jaume Collet-Serra,8008,2014,Liam Neeson,Julianne Moore,Action,Thriller
Everybody's Woman,3.77,Max Ophüls,177,1934,Isa Miranda,Memo Benassi,Drama,
Leader,3.62,Sekhar Kammula,127,2010,Rana Daggubati,Harshavardhan,Drama,Romance
The Street with No Name,3.4,William Keighley,151,1948,Mark Stevens,Richard Widmark,Crime,Drama
Death Becomes Her,3.61,Robert Zemeckis,24287,1992,Goldie Hawn,Bruce Willis,Comedy,Fantasy
71 Fragments of a Chronology of Chance,3.74,Michael Haneke,1628,1994,Gabriel Cosmin Urdes,Lukas Miko,Crime,Drama
L'Inhumaine,3.73,Marcel L'Herbier,268,1924,Jaque Catelain,Léonid Walter de Malte,Drama,Science Fiction
Genevieve,3.42,Henry Cornelius,187,1953,Dinah Sheridan,John Gregson,Comedy,
The Mark of Zorro,3.45,Fred Niblo,399,1920,Douglas Fairbanks,Noah Beery,Drama,Action
Boys Town,3.41,Norman Taurog,343,1938,Spencer Tracy,Mickey Rooney,Drama,
The Good Fairy,3.71,William Wyler,264,1935,Margaret Sullavan,Herbert Marshall,Romance,Comedy
Taken 2,2.54,Olivier Megaton,5298,2012,Liam Neeson,Maggie Grace,Crime,Thriller
Transformers: Revenge of the Fallen,2.35,Michael Bay,17182,2009,Shia LaBeouf,Megan Fox,Action,Adventure
Fandry,3.75,Nagraj Popatrao Manjule,234,2013,Somnath Awghade,Rajeshwari Kharat,Family,Drama
Death and the Maiden,3.68,Roman Polanski,893,1994,Sigourney Weaver,Ben Kingsley,Drama,Thriller
Simple Men,3.7,Hal Hartley,1130,1992,Robert John Burke,Bill Sage,Crime,Romance
Christine,3.49,John Carpenter,19550,1983,Keith Gordon,John Stockwell,Horror,
Crooks in Clover,3.79,Georges Lautner,358,1963,Lino Ventura,Bernard Blier,Comedy,Crime
Third Star,3.62,Hattie Dalton,271,2010,Tom Burke,Benedict Cumberbatch,Drama,
Shattered Glass,3.47,Billy Ray,5457,2003,Hayden Christensen,Peter Sarsgaard,Drama,History
The Isle,3.61,Kim Ki-duk,1106,2000,Kim Yu-seok,Suh Jung,Thriller,Drama
Unstoppable,3.28,Tony Scott,9277,2010,Denzel Washington,Chris Pine,Thriller,Action
Mother Küsters Goes to Heaven,3.84,Rainer Werner Fassbinder,263,1975,Brigitte Mira,Ingrid Caven,Drama,
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,3.87,Haruo Sotozaki,165,2019,Natsuki Hanae,Akari Kito,Action,Animation
Love on the Run,3.62,François Truffaut,1676,1979,Jean-Pierre Léaud,Marie-France Pisier,Romance,Comedy
The Beginning,3.64,Gleb Panfilov,46,1970,Inna Churikova,Valentina Telichkina,Comedy,Romance
The Crazy Ray,3.59,René Clair,271,1925,Henri Rollan,Madeleine Rodrigue,Comedy,Science Fiction
Venus in Fur,3.64,Roman Polanski,1333,2013,Emmanuelle Seigner,Mathieu Amalric,Drama,
White Bim Black Ear,3.66,Stanislav Rostotsky,33,1977,Vyacheslav Tikhonov,Mikhail Dadyko,Drama,
Robin Hood,3.48,Allan Dwan,287,1922,Douglas Fairbanks,Enid Bennett,Adventure,Romance
The Lord of the Rings,3.17,Ralph Bakshi,3350,1978,Christopher Guard,William Squire,Fantasy,Adventure
Nixon,3.58,Oliver Stone,1933,1995,Anthony Hopkins,Joan Allen,History,Drama
The Idiot,3.56,Akira Kurosawa,1030,1951,Setsuko Hara,Masayuki Mori,Romance,Drama
I Am Love,3.74,Luca Guadagnino,3500,2009,Tilda Swinton,Flavio Parenti,Drama,Romance
Deepwater Horizon,3.36,Peter Berg,6733,2016,Mark Wahlberg,Kurt Russell,Action,Drama
Who Killed Captain Alex?,4.16,Nabwana IGG,8988,2010,Kakule William,Sserunya Ernest,Comedy,Drama
Shadow of the Vampire,3.52,E. Elias Merhige,3568,2000,John Malkovich,Willem Dafoe,Horror,Drama
The Story of Louis Pasteur,3.39,William Dieterle,314,1936,Paul Muni,Josephine Hutchinson,History,Drama
Goon,3.27,Michael Dowse,4768,2011,Seann William Scott,Marc-André Grondin,Comedy,
Tango & Cash,3.14,Andrei Konchalovsky,4267,1989,Sylvester Stallone,Kurt Russell,Thriller,Comedy
Lady with the Dog,3.55,Iosif Kheifits,69,1960,Iya Savvina,Aleksey Batalov,Drama,Romance
Dogtown and Z-Boys,3.79,Stacy Peralta,760,2001,Sean Penn,Jay Adams,Documentary,
In the Valley of Elah,3.43,Paul Haggis,756,2007,Tommy Lee Jones,Charlize Theron,Drama,Crime
Jujutsu Kaisen 0,3.92,Sunghoo Park,31972,2021,Megumi Ogata,Kana Hanazawa,Action,Animation
Un carnet de bal,3.64,Julien Duvivier,99,1937,Harry Baur,Marie Bell,Romance,Drama
Penelope,3.14,Mark Palansky,6721,2006,Christina Ricci,James McAvoy,Comedy,Fantasy
The Day I Became a Woman,3.86,Marziyeh Meshkiny,440,2000,Fatemeh Cherag Akhar,Hassan Nebhan,Drama,
Far from the Madding Crowd,3.63,John Schlesinger,363,1967,Julie Christie,Terence Stamp,Drama,Romance
The Big Sky,3.52,Howard Hawks,390,1952,Kirk Douglas,Dewey Martin,Adventure,Western
Aakrosh,3.68,Govind Nihalani,117,1980,Naseeruddin Shah,Om Puri,Drama,
It Always Rains on Sunday,3.52,Robert Hamer,703,1947,Googie Withers,Edward Chapman,Drama,Crime
"The 1,000 Eyes of Dr. Mabuse",3.61,Fritz Lang,366,1960,Peter van Eyck,Gert Fröbe,Mystery,Crime
Chronicle of a Summer,3.89,Edgar Morin,1811,1961,Edgar Morin,Jean Rouch,Documentary,
Compartment No. 6,3.76,Juho Kuosmanen,6126,2021,Seidi Haarla,Yuriy Borisov,Drama,
Baran,3.72,Majid Majidi,263,2001,Hossein Abedini,Zahra Bahrami,Romance,Drama
Elephant,3.81,Alan Clarke,2784,1989,Gary Walker,Bill Hamilton,TV Movie,Crime
Vazhakku Enn 18/9,3.56,Balaji Sakthivel,41,2012,Sri,Mithun Murali,Drama,
Sign of the Lion,3.51,Éric Rohmer,464,1962,Jess Hahn,Michèle Girardon,Drama,
Ingeborg Holm,3.6,Victor Sjöström,273,1913,Hilda Borgström,Georg Grönroos,Drama,
The Toth Family,3.73,Zoltán Fábri,63,1969,Zoltán Latinovits,Imre Sinkovits,War,Comedy
Pirosmani,3.97,Giorgi Shengelaia,325,1969,Avtandil Varazi,Dodo Abashidze,Drama,
Year of the Dragon,3.47,Michael Cimino,2040,1985,Mickey Rourke,John Lone,Action,Thriller
Night Train to Munich,3.6,Carol Reed,746,1940,Margaret Lockwood,Rex Harrison,War,Thriller
Camille Claudel,3.66,Bruno Nuytten,293,1988,Isabelle Adjani,Gérard Depardieu,Drama,Romance
Born to Kill,3.58,Robert Wise,683,1947,Claire Trevor,Lawrence Tierney,Drama,Crime
Devil in a Blue Dress,3.65,Carl Franklin,5726,1995,Denzel Washington,Tom Sizemore,Drama,Thriller
Fantastic Voyage,3.38,Richard Fleischer,1313,1966,Stephen Boyd,Raquel Welch,Science Fiction,Adventure
"That Day, on the Beach",4.03,Edward Yang,1023,1983,Sylvia Chang,Terry Hu,Drama,
The Hypothesis of the Stolen Painting,3.95,Raúl Ruiz,440,1978,Jean Rougeul,Gabriel Gascon,Drama,Mystery
Waqt,3.46,Yash Chopra,57,1965,Balraj Sahni,Sunil Dutt,Crime,Romance
Angel-A,3.53,Luc Besson,1128,2005,Jamel Debbouze,Rie Rasmussen,Romance,Comedy
Love Songs,3.58,Christophe Honoré,2037,2007,Louis Garrel,Ludivine Sagnier,Romance,Drama
The Red Light Bandit,3.9,Rogério Sganzerla,2219,1968,Paulo Villaça,Helena Ignez,Crime,Thriller
The Bone Collector,3.15,Phillip Noyce,5453,1999,Denzel Washington,Angelina Jolie,Thriller,Mystery
That Hamilton Woman,3.5,Alexander Korda,431,1941,Vivien Leigh,Laurence Olivier,Romance,War
The Mouth Agape,3.89,Maurice Pialat,412,1974,Nathalie Baye,Hubert Deschamps,Drama,
Kushi,3.44,S. J. Suryah,129,2000,Vijay,Jyothika,Drama,Romance
The King,3.37,David Michôd,33310,2019,Timothée Chalamet,Joel Edgerton,War,History
Skhizein,4.01,Jérémy Clapin,266,2008,Julien Boisselier,Théo Grimmeisen,Drama,Animation
Anjaam Pathiraa,3.45,Midhun Manuel Thomas,322,2020,Kunchacko Boban,Sreenath Bhasi,Thriller,Crime
Mumbai Police,3.56,Rosshan Andrrews,163,2013,Prithviraj Sukumaran,Jayasurya,Mystery,Thriller
Drug War,3.78,Johnnie To,2385,2012,Louis Koo,Sun Honglei,Drama,Crime
Kammatipaadam,3.72,Rajeev Ravi,220,2016,Dulquer Salmaan,Vinayakan,Action,Drama
Robin Hood,2.74,Ridley Scott,4068,2010,Russell Crowe,Cate Blanchett,Drama,Action
The Addiction,3.61,Abel Ferrara,5630,1995,Lili Taylor,Christopher Walken,Horror,Drama
Talladega Nights: The Ballad of Ricky Bobby,3.26,Adam McKay,17146,2006,Will Ferrell,John C. Reilly,Comedy,
The Immigrant,3.55,James Gray,3478,2013,Marion Cotillard,Joaquin Phoenix,Drama,Romance
Cemetery of Splendor,3.92,Apichatpong Weerasethakul,2761,2015,Jenjira Pongpas,Banlop Lomnoi,Fantasy,Drama
Even the Rain,3.56,Icíar Bollaín,1541,2010,Luis Tosar,Gael García Bernal,History,Drama
The Girl Can't Help It,3.55,Frank Tashlin,1186,1956,Jayne Mansfield,Tom Ewell,Comedy,Music
The First Slam Dunk,4.17,Takehiko Inoue,6199,2022,Shugo Nakamura,Jun Kasama,Animation,Drama
We Have a Pope,3.5,Nanni Moretti,567,2011,Michel Piccoli,Nanni Moretti,Comedy,Drama
Law of Tehran,3.42,Saeed Roustaee,614,2019,Payman Maadi,Navid Mohammadzadeh,Drama,Action
1971,3.54,Amrit Sagar Chopra,29,2007,Manoj Bajpayee,Ravi Kishan,Action,War
Speak,3.74,Jessica Sharzer,10096,2004,Kristen Stewart,Elizabeth Perkins,Drama,
True Heart Susie,3.65,D.W. Griffith,332,1919,Lillian Gish,Robert Harron,Drama,Romance
Fritz the Cat,3.22,Ralph Bakshi,4053,1972,Skip Hinnant,Rosetta LeNoire,Animation,Comedy
The Girls,3.73,Yuri Chulyukin,233,1962,Nadezhda Rumyantseva,Nikolai Rybnikov,Comedy,Romance
Creature from the Black Lagoon,3.54,Jack Arnold,12016,1954,Richard Carlson,Julie Adams,Horror,Science Fiction
Lady Windermere's Fan,3.65,Ernst Lubitsch,239,1925,Ronald Colman,May McAvoy,Comedy,Drama
The Fountainhead,3.39,King Vidor,878,1949,Gary Cooper,Patricia Neal,Romance,Drama
Police Academy,3.14,Hugh Wilson,3996,1984,Steve Guttenberg,Kim Cattrall,Crime,Comedy
Sathuranga Vettai,3.55,H. Vinoth,106,2014,Natarajan Subramaniam,Ishara Nair,Thriller,Comedy
Dor,3.59,Nagesh Kukunoor,55,2006,Ayesha Takia,Shreyas Talpade,Drama,
Armour of God,3.3,Jackie Chan,1578,1986,Jackie Chan,Alan Tam,Action,Adventure
The Longest Yard,3.41,Robert Aldrich,996,1974,Burt Reynolds,Eddie Albert,Comedy,Drama
I Wake Up Screaming,3.47,H. Bruce Humberstone,1028,1941,Betty Grable,Victor Mature,Mystery,Crime
Madras,3.66,Pa. Ranjith,293,2014,Karthi,Catherine Tresa,Action,Drama
Pappa ante Portas,3.71,Vicco von Bülow,328,1991,Vicco von Bülow,Evelyn Hamann,Comedy,
The Wandering Earth II,3.16,Frant Gwo,1199,2023,Andy Lau,Wu Jing,Drama,Action
Chitty Chitty Bang Bang,3.39,Ken Hughes,4194,1968,Dick Van Dyke,Sally Ann Howes,Family,Adventure
The Assassin,3.5,Hou Hsiao-hsien,4154,2015,Shu Qi,Chang Chen,Action,History
Overboard,3.22,Garry Marshall,3633,1987,Goldie Hawn,Kurt Russell,Romance,Comedy
Punjab 1984,3.59,Anurag Singh,16,2014,Diljit Dosanjh,Sonam Bajwa,Family,Drama
Time for Revenge,3.93,Adolfo Aristarain,735,1981,Federico Luppi,Haydée Padilla,Drama,Thriller
Tea and Sympathy,3.99,Vincente Minnelli,1220,1956,Deborah Kerr,John Kerr,Drama,
Red Dust,3.45,Victor Fleming,634,1932,Clark Gable,Jean Harlow,Drama,Romance
Stormy Waters,3.73,Jean Grémillon,369,1941,Jean Gabin,Madeleine Renaud,Drama,Romance
Stepmom,3.46,Chris Columbus,6274,1998,Julia Roberts,Susan Sarandon,Comedy,Romance
Sethu,3.51,Bala,69,1999,Vikram,Abitha,Action,Drama
I Love You Phillip Morris,3.37,Glenn Ficarra,7962,2009,Jim Carrey,Ewan McGregor,Drama,Romance
Beautiful Boy,3.87,Felix van Groeningen,90474,2018,Steve Carell,Timothée Chalamet,Drama,
Indru Netru Naalai,3.51,R. Ravi Kumar,112,2015,Vishnu Vishal,Miya George,Comedy,Thriller
A Walk in the Sun,3.4,Lewis Milestone,124,1945,Dana Andrews,Richard Conte,Drama,War
Another Woman,3.66,Woody Allen,1274,1988,Gena Rowlands,Mia Farrow,Drama,
Australia,2.87,Baz Luhrmann,2465,2008,Nicole Kidman,Hugh Jackman,Drama,Romance
101 Dalmatians,2.8,Stephen Herek,4395,1996,Glenn Close,Jeff Daniels,Family,Comedy
Same Old Song,3.67,Alain Resnais,205,1997,Pierre Arditi,Sabine Azéma,Drama,Romance
The French Lieutenant's Woman,3.43,Karel Reisz,1109,1981,Meryl Streep,Jeremy Irons,Drama,History
Black Peter,3.58,Miloš Forman,476,1964,Ladislav Jakim,Pavla Martínková,Drama,Comedy
High Anxiety,3.27,Mel Brooks,2628,1977,Mel Brooks,Madeline Kahn,Thriller,Mystery
Bread and Chocolate,3.69,Franco Brusati,96,1974,Nino Manfredi,Johnny Dorelli,Drama,Comedy
The Great Journey,3.57,Ismaël Ferroukhi,121,2004,Nicolas Cazalé,Mohamed Majd,Drama,Romance
Emmet Otter's Jug-Band Christmas,3.89,Jim Henson,3674,1977,Jerry Nelson,Frank Oz,Music,Family
A Bullet for the General,3.72,Damiano Damiani,660,1967,Gian Maria Volonté,Klaus Kinski,Western,
One Night in Miami...,3.67,Regina King,17768,2020,Kingsley Ben-Adir,Eli Goree,Drama,
The Three Musketeers,3.43,Richard Lester,1050,1973,Michael York,Oliver Reed,Adventure,Comedy
East Is East,3.32,Damien O'Donnell,733,1999,Om Puri,Linda Bassett,Comedy,Drama
Human Traffic,3.69,Justin Kerrigan,5928,1999,John Simm,Shaun Parkes,Drama,Comedy
Palombella Rossa,3.79,Nanni Moretti,605,1989,Nanni Moretti,Silvio Orlando,Drama,Comedy
Fantômas: Juve Against Fantômas,3.59,Louis Feuillade,163,1913,René Navarre,Georges Melchior,Crime,Drama
The Guest,3.45,Adam Wingard,15180,2014,Dan Stevens,Maika Monroe,Mystery,Thriller
The League of Gentlemen,3.64,Basil Dearden,642,1960,Jack Hawkins,Nigel Patrick,Comedy,Crime
Winnie-the-Pooh and a Busy Day,3.89,Fyodor Khitruk,92,1972,Evgeni Leonov,Iya Savvina,Animation,Family
Idiocracy,3,Mike Judge,16510,2006,Luke Wilson,Maya Rudolph,Science Fiction,Comedy
My Childhood,3.89,Bill Douglas,290,1972,Stephen Archibald,Hughie Restorick,Drama,
Mandabi,3.79,Ousmane Sembène,1289,1968,Makhouredia Gueye,Ynousse N'Diaye,Comedy,Drama
Killer Joe,3.52,William Friedkin,7308,2011,Matthew McConaughey,Emile Hirsch,Crime,Thriller
Punjabi House,3.55,Raffi,19,1998,Dileep,Harisree Ashokan,Drama,Romance
Alive,3.3,Frank Marshall,3547,1993,Josh Hamilton,Bruce Ramsay,History,Adventure
Jumanji: The Next Level,2.86,Jake Kasdan,26643,2019,Dwayne Johnson,Kevin Hart,Adventure,Fantasy
Samson and Delilah,3.37,Cecil B. DeMille,475,1949,Hedy Lamarr,Victor Mature,Adventure,Romance
Sons and Lovers,3.45,Jack Cardiff,147,1960,Mary Ure,Trevor Howard,Drama,
Antonio das Mortes,3.82,Glauber Rocha,1253,1969,Maurício do Valle,Odete Lara,Drama,Action
Primal: Tales of Savagery,4.01,Genndy Tartakovsky,94,2019,Aaron LaPlante,Jon Olson,Animation,Action
Stay,3.4,Marc Forster,10886,2005,Ewan McGregor,Ryan Gosling,Mystery,Drama
Thieves Like Us,3.57,Robert Altman,710,1974,Keith Carradine,Shelley Duvall,Crime,Drama
The Devil Is a Woman,3.58,Josef von Sternberg,929,1935,Marlene Dietrich,Lionel Atwill,Comedy,History
Park Row,3.75,Samuel Fuller,665,1952,Gene Evans,Mary Welch,Thriller,History
Sapphire,3.54,Basil Dearden,533,1959,Nigel Patrick,Michael Craig,Crime,Mystery
"Oh, Mr. Porter!",3.5,Marcel Varnel,63,1937,Will Hay,Moore Marriott,Comedy,
Sandra,3.68,Luchino Visconti,199,1965,Claudia Cardinale,Jean Sorel,Mystery,Drama
Polisse,3.78,Maïwenn,1051,2011,Frédéric Pierrot,JoeyStarr,Drama,Thriller
Let's Sin,3.46,Onur Ünlü,112,2014,Serkan Keskin,Hazal Kaya,Crime,Drama
Adoption,3.78,Márta Mészáros,634,1975,Katalin Berek,Gyöngyvér Vigh,Drama,
Dada,3.51,Ganesh K. Babu,1510,2023,Kavin Raj,Aparna Das,Romance,Comedy
Kamikaze Girls,4.03,Tetsuya Nakashima,5253,2004,Kyoko Fukada,Anna Tsuchiya,Comedy,
Roots,4.06,Marvin J. Chomsky,206,1977,Madge Sinclair,Olivia Cole,Documentary,Drama
The Family Man,3.22,Brett Ratner,5332,2000,Nicolas Cage,Téa Leoni,Romance,Fantasy
Nna Thaan Case Kodu,3.6,Ratheesh Balakrishnan Poduval,783,2022,Kunchacko Boban,Gayathrie Shankar,Comedy,Drama
Gett: The Trial of Viviane Amsalem,4.01,Ronit Elkabetz,549,2014,Ronit Elkabetz,Simon Abkarian,Drama,
Cleopatra,3.39,Cecil B. DeMille,726,1934,Claudette Colbert,Warren William,Romance,History
Come Drink with Me,3.73,King Hu,2106,1966,Cheng Pei-pei,Elliot Ngok,Action,Adventure
The Tyrannical Father,3.57,António Lopes Ribeiro,29,1941,Vasco Santana,Francisco Ribeiro,Comedy,Romance
The 10th Kingdom,3.81,Herbert Wise,355,2000,Kimberly Williams-Paisley,John Larroquette,Comedy,
They Were Five,3.64,Julien Duvivier,136,1936,Jean Gabin,Charles Vanel,Drama,
The Crazy Stranger,3.82,Tony Gatlif,197,1997,Romain Duris,Rona Hartner,Drama,Music
Truth and Justice,3.91,Tanel Toom,301,2019,Priit Loog,Ester Kuntu,Drama,History
Beyond the Valley of the Dolls,3.54,Russ Meyer,4771,1970,Dolly Read,Cynthia Myers,Comedy,Music
Battling Butler,3.56,Buster Keaton,1275,1926,Buster Keaton,Snitz Edwards,Comedy,
Billy Elliot: The Musical Live,4.04,Stephen Daldry,444,2014,Elliott Hanna,Ruthie Henshall,Drama,Music
Prospero's Books,3.64,Peter Greenaway,566,1991,John Gielgud,Michael Clark,Fantasy,
They Made Me a Fugitive,3.57,Alberto Cavalcanti,238,1947,Sally Gray,Trevor Howard,Crime,Thriller
Ayisha,2.99,Aamir Pallikkal,56,2023,Manju Warrier,Radhika,Drama,Family
T-Men,3.45,Anthony Mann,695,1947,Dennis O'Keefe,Mary Meade,Thriller,Crime
Writer Padmabhushan,3.23,Shanmukha Prasanth,443,2023,Suhas,Rohini,Comedy,Family
Certain Women,3.75,Kelly Reichardt,9628,2016,Laura Dern,Kristen Stewart,Drama,
Bye Bye Brazil,3.71,Carlos Diegues,625,1980,José Wilker,Betty Faria,Drama,
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,4.46,Jonas Mekas,2630,2000,Jonas Mekas,Stan Brakhage,Documentary,
Reconstruction,3.78,Christoffer Boe,201,2003,Nikolaj Lie Kaas,Maria Bonnevie,Drama,Romance
"War and Peace, Part IV: Pierre Bezukhov",4.16,Sergey Bondarchuk,391,1967,Sergey Bondarchuk,Ludmila Savelyeva,War,Drama
God of Gamblers,3.55,Wong Jing,650,1989,Chow Yun-fat,Andy Lau,Action,Comedy
Happy Days,3.57,Sekhar Kammula,100,2007,Varun Sandesh,Tamannaah Bhatia,Drama,
The Eye,3.18,Danny Pang,935,2002,Angelica Lee,Lawrence Chou,Horror,
The Long Riders,3.47,Walter Hill,1169,1980,David Carradine,Keith Carradine,Western,Action
The Protector,3.45,Prachya Pinkaew,1204,2005,Tony Jaa,Petchtai Wongkamlao,Thriller,Drama
Son of Frankenstein,3.47,Rowland V. Lee,2479,1939,Basil Rathbone,Boris Karloff,Science Fiction,Horror
